InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,Description,District,Total_Price_LKR
EH-2022000012,20243,2022-01-07 12:06:49,1,41650,Xiaomi Redmi 12 Smartphone,Colombo,41650
EH-2022000013,20044,2022-01-07 12:28:45,2,830,Rechargeable LED Bulb,Jaffna,1660
EH-2022000013,20044,2022-01-07 12:28:45,1,6580,Innovex Rice Cooker 1.8L,Jaffna,6580
EH-2022000013,20044,2022-01-07 12:28:45,1,960,Extension Cord (4-Socket),Jaffna,960
EH-2022000014,20057,2022-01-07 20:26:05,2,3060,Power Bank 10000mAh,Gampaha,6120
EH-2022000014,20057,2022-01-07 20:26:05,1,4450,Bluetooth Earbuds,Gampaha,4450
EH-2022000014,20057,2022-01-07 20:26:05,1,2140,Laptop Cooling Pad,Gampaha,2140
EH-2022000015,20015,2022-01-08 15:47:35,1,2150,Laptop Cooling Pad,Colombo,2150
EH-2022000015,20015,2022-01-08 15:47:35,2,3380,Solar Lantern (Rechargeable),Colombo,6760
EH-2022000016,20187,2022-01-09 10:28:52,1,1000,Extension Cord (4-Socket),Gampaha,1000
EH-2022000016,20187,2022-01-09 10:28:52,1,62170,Samsung Galaxy A14 Smartphone,Gampaha,62170
EH-2022000016,20187,2022-01-09 10:28:52,1,3860,Philips Electric Kettle,Gampaha,3860
EH-2022000017,20064,2022-01-09 19:26:35,1,840,Rechargeable LED Bulb,Colombo,840
EH-2022000017,20064,2022-01-09 19:26:35,1,41280,Xiaomi Redmi 12 Smartphone,Colombo,41280
EH-2022000018,20153,2022-01-10 19:10:18,1,4600,National Table Fan 16-inch,Colombo,4600
EH-2022000018,20153,2022-01-10 19:10:18,2,3660,Solar Lantern (Rechargeable),Colombo,7320
EH-2022000018,20153,2022-01-10 19:10:18,1,6360,Innovex Rice Cooker 1.8L,Colombo,6360
EH-2022000019,20084,2022-01-11 18:45:06,1,1400,Gas Cooker Adapter (LPG-saver),Kandy,1400
EH-2022000019,20084,2022-01-11 18:45:06,2,870,Rechargeable LED Bulb,Kandy,1740
EH-2022000019,20084,2022-01-11 18:45:06,1,8080,itel Feature Phone,Kandy,8080
EH-2022000020,20022,2022-01-12 10:28:34,2,910,Extension Cord (4-Socket),Matale,1820
EH-2022000020,20022,2022-01-12 10:28:34,1,3400,Solar Lantern (Rechargeable),Matale,3400
EH-2022000021,20231,2022-01-12 10:57:48,2,910,Extension Cord (4-Socket),Colombo,1820
EH-2022000021,20231,2022-01-12 10:57:48,1,6570,Innovex Rice Cooker 1.8L,Colombo,6570
EH-2022000021,20231,2022-01-12 10:57:48,1,18970,Panasonic Inverter 700VA,Colombo,18970
EH-2022000022,20162,2022-01-12 11:15:31,1,4500,Bluetooth Earbuds,Ratnapura,4500
EH-2022000022,20162,2022-01-12 11:15:31,1,42130,Xiaomi Redmi 12 Smartphone,Ratnapura,42130
EH-2022000022,20162,2022-01-12 11:15:31,1,4890,National Table Fan 16-inch,Ratnapura,4890
EH-2022000023,20207,2022-01-12 16:35:35,1,4650,National Table Fan 16-inch,Colombo,4650
EH-2022000024,20231,2022-01-14 11:57:19,1,8220,itel Feature Phone,Colombo,8220
EH-2022000024,20231,2022-01-14 11:57:19,1,66480,Samsung Galaxy A14 Smartphone,Colombo,66480
EH-2022000024,20231,2022-01-14 11:57:19,1,90990,Kelvinator Refrigerator 190L,Colombo,90990
EH-2022000025,20192,2022-01-14 16:39:58,1,3730,Philips Electric Kettle,Kurunegala,3730
EH-2022000025,20192,2022-01-14 16:39:58,1,17810,Panasonic Inverter 700VA,Kurunegala,17810
EH-2022000025,20192,2022-01-14 16:39:58,2,3090,Power Bank 10000mAh,Kurunegala,6180
EH-2022000026,20115,2022-01-15 09:30:18,1,59210,Singer LED TV 43-inch,Gampaha,59210
EH-2022000026,20115,2022-01-15 09:30:18,2,3380,Power Bank 10000mAh,Gampaha,6760
EH-2022000027,20019,2022-01-16 16:54:04,1,4990,Abans Blender 400W,Gampaha,4990
EH-2022000027,20019,2022-01-16 16:54:04,2,3370,Solar Lantern (Rechargeable),Gampaha,6740
EH-2022000028,20024,2022-01-18 08:30:42,3,870,Rechargeable LED Bulb,Colombo,2610
EH-2022000028,20024,2022-01-18 08:30:42,1,34300,Singer LED TV 32-inch,Colombo,34300
EH-2022000028,20024,2022-01-18 08:30:42,1,8960,itel Feature Phone,Colombo,8960
EH-2022000029,20012,2022-01-19 10:26:27,2,3330,Solar Lantern (Rechargeable),Colombo,6660
EH-2022000030,20030,2022-01-19 11:56:39,2,3060,Power Bank 10000mAh,Colombo,6120
EH-2022000031,20053,2022-01-19 15:02:16,3,840,Rechargeable LED Bulb,Ratnapura,2520
EH-2022000032,20093,2022-01-19 17:10:28,1,18910,Panasonic Inverter 700VA,Anuradhapura,18910
EH-2022000033,20179,2022-01-19 20:09:42,2,3700,Philips Electric Kettle,Gampaha,7400
EH-2022000033,20179,2022-01-19 20:09:42,1,8460,itel Feature Phone,Gampaha,8460
EH-2022000033,20179,2022-01-19 20:09:42,1,68140,Samsung Galaxy A14 Smartphone,Gampaha,68140
EH-2022000034,20071,2022-01-20 16:13:53,1,21200,Inverter Battery 12V 100Ah,Kalutara,21200
EH-2022000034,20071,2022-01-20 16:13:53,2,1000,Extension Cord (4-Socket),Kalutara,2000
EH-2022000034,20071,2022-01-20 16:13:53,1,4890,National Table Fan 16-inch,Kalutara,4890
EH-2022000035,20157,2022-01-20 18:34:06,1,36890,Singer LED TV 32-inch,Matale,36890
EH-2022000036,20022,2022-01-20 18:48:04,1,33740,Singer LED TV 32-inch,Matale,33740
EH-2022000037,20062,2022-01-20 18:48:32,1,8130,itel Feature Phone,Colombo,8130
EH-2022000037,20062,2022-01-20 18:48:32,2,3380,Power Bank 10000mAh,Colombo,6760
EH-2022000038,20220,2022-01-21 16:48:01,2,920,Extension Cord (4-Socket),Matara,1840
EH-2022000039,20231,2022-01-21 19:56:27,2,820,Rechargeable LED Bulb,Colombo,1640
EH-2022000039,20231,2022-01-21 19:56:27,2,3350,Power Bank 10000mAh,Colombo,6700
EH-2022000039,20231,2022-01-21 19:56:27,1,4910,National Table Fan 16-inch,Colombo,4910
EH-2022000040,20222,2022-01-22 14:59:29,2,3330,Solar Lantern (Rechargeable),Matara,6660
EH-2022000041,20097,2022-01-25 09:56:12,2,3720,Philips Electric Kettle,Matale,7440
EH-2022000041,20097,2022-01-25 09:56:12,1,6310,Innovex Rice Cooker 1.8L,Matale,6310
EH-2022000042,20234,2022-01-25 18:30:22,1,3380,Power Bank 10000mAh,Galle,3380
EH-2022000043,20252,2022-01-26 11:41:26,1,89370,Kelvinator Refrigerator 190L,Badulla,89370
EH-2022000044,20045,2022-01-26 12:32:30,1,6830,Innovex Rice Cooker 1.8L,Colombo,6830
EH-2022000044,20045,2022-01-26 12:32:30,1,4460,Bluetooth Earbuds,Colombo,4460
EH-2022000045,20097,2022-01-27 10:00:59,1,3090,Power Bank 10000mAh,Matale,3090
EH-2022000045,20097,2022-01-27 10:00:59,1,4390,Bluetooth Earbuds,Matale,4390
EH-2022000046,20051,2022-01-27 12:47:29,1,19310,Panasonic Inverter 700VA,Gampaha,19310
EH-2022000046,20051,2022-01-27 12:47:29,1,4870,National Table Fan 16-inch,Gampaha,4870
EH-2022000046,20051,2022-01-27 12:47:29,1,920,Extension Cord (4-Socket),Gampaha,920
EH-2022000047,20227,2022-01-28 17:00:52,1,810,Rechargeable LED Bulb,Colombo,810
EH-2022000047,20227,2022-01-28 17:00:52,1,63500,Samsung Galaxy A14 Smartphone,Colombo,63500
EH-2022000047,20227,2022-01-28 17:00:52,1,63100,Singer LED TV 43-inch,Colombo,63100
EH-2022000048,20099,2022-01-28 18:57:52,1,840,Rechargeable LED Bulb,Kalutara,840
EH-2022000048,20099,2022-01-28 18:57:52,1,64220,Samsung Galaxy A14 Smartphone,Kalutara,64220
EH-2022000049,20240,2022-01-28 20:52:44,1,1440,Gas Cooker Adapter (LPG-saver),Gampaha,1440
EH-2022000049,20240,2022-01-28 20:52:44,3,870,Rechargeable LED Bulb,Gampaha,2610
EH-2022000050,20220,2022-01-29 15:22:52,1,4500,Bluetooth Earbuds,Matara,4500
EH-2022000050,20220,2022-01-29 15:22:52,1,6480,Innovex Rice Cooker 1.8L,Matara,6480
EH-2022000050,20220,2022-01-29 15:22:52,3,810,Rechargeable LED Bulb,Matara,2430
EH-2022000051,20112,2022-01-30 14:38:07,3,830,Rechargeable LED Bulb,Gampaha,2490
EH-2022000051,20112,2022-01-30 14:38:07,2,3410,Solar Lantern (Rechargeable),Gampaha,6820
EH-2022000052,20209,2022-01-30 16:00:37,1,4740,National Table Fan 16-inch,Ratnapura,4740
EH-2022000053,20243,2022-01-30 19:15:52,1,1410,Gas Cooker Adapter (LPG-saver),Colombo,1410
EH-2022000053,20243,2022-01-30 19:15:52,1,7310,Sony Bluetooth Speaker,Colombo,7310
EH-2022000053,20243,2022-01-30 19:15:52,1,5330,Abans Blender 400W,Colombo,5330
EH-2022000054,20132,2022-01-31 10:18:17,1,59000,Singer LED TV 43-inch,Kandy,59000
EH-2022000054,20132,2022-01-31 10:18:17,1,2140,Laptop Cooling Pad,Kandy,2140
EH-2022000055,20220,2022-01-31 16:46:35,2,3470,Solar Lantern (Rechargeable),Matara,6940
EH-2022000055,20220,2022-01-31 16:46:35,1,5220,Abans Blender 400W,Matara,5220
EH-2022000056,20108,2022-01-31 20:06:11,1,4830,National Table Fan 16-inch,Batticaloa,4830
EH-2022000057,20226,2022-02-01 09:07:54,1,6850,Innovex Rice Cooker 1.8L,Galle,6850
EH-2022000057,20226,2022-02-01 09:07:54,1,6990,Sony Bluetooth Speaker,Galle,6990
EH-2022000058,20108,2022-02-02 10:14:34,1,66980,Samsung Galaxy A14 Smartphone,Batticaloa,66980
EH-2022000059,20057,2022-02-04 13:02:21,2,940,Extension Cord (4-Socket),Gampaha,1880
EH-2022000060,20053,2022-02-04 19:53:22,1,6670,Innovex Rice Cooker 1.8L,Ratnapura,6670
EH-2022000061,20162,2022-02-05 13:35:14,1,4670,Bluetooth Earbuds,Ratnapura,4670
EH-2022000061,20162,2022-02-05 13:35:14,1,18660,Panasonic Inverter 700VA,Ratnapura,18660
EH-2022000061,20162,2022-02-05 13:35:14,1,61530,Singer LED TV 43-inch,Ratnapura,61530
EH-2022000062,20057,2022-02-05 15:32:50,1,7250,Sony Bluetooth Speaker,Gampaha,7250
EH-2022000063,20114,2022-02-05 15:56:12,1,4880,National Table Fan 16-inch,Ratnapura,4880
EH-2022000063,20114,2022-02-05 15:56:12,1,87070,Kelvinator Refrigerator 190L,Ratnapura,87070
EH-2022000063,20114,2022-02-05 15:56:12,1,5300,Abans Blender 400W,Ratnapura,5300
EH-2022000064,20237,2022-02-05 17:46:29,1,8540,itel Feature Phone,Kandy,8540
EH-2022000065,20231,2022-02-05 18:19:50,1,4960,National Table Fan 16-inch,Colombo,4960
EH-2022000066,20191,2022-02-05 19:24:46,1,17670,Panasonic Inverter 700VA,Galle,17670
EH-2022000066,20191,2022-02-05 19:24:46,1,4410,Bluetooth Earbuds,Galle,4410
EH-2022000066,20191,2022-02-05 19:24:46,1,3360,Solar Lantern (Rechargeable),Galle,3360
EH-2022000067,20110,2022-02-06 09:31:36,1,8630,itel Feature Phone,Matale,8630
EH-2022000067,20110,2022-02-06 09:31:36,1,63580,Samsung Galaxy A14 Smartphone,Matale,63580
EH-2022000067,20110,2022-02-06 09:31:36,1,5070,National Table Fan 16-inch,Matale,5070
EH-2022000068,20150,2022-02-06 12:02:48,1,1000,Extension Cord (4-Socket),Ratnapura,1000
EH-2022000068,20150,2022-02-06 12:02:48,1,5410,Abans Blender 400W,Ratnapura,5410
EH-2022000068,20150,2022-02-06 12:02:48,1,4570,National Table Fan 16-inch,Ratnapura,4570
EH-2022000069,20220,2022-02-08 08:25:57,1,36350,Singer LED TV 32-inch,Matara,36350
EH-2022000069,20220,2022-02-08 08:25:57,1,93070,Kelvinator Refrigerator 190L,Matara,93070
EH-2022000070,20105,2022-02-08 08:28:52,1,122670,LG Washing Machine 7kg,Anuradhapura,122670
EH-2022000070,20105,2022-02-08 08:28:52,2,3040,Power Bank 10000mAh,Anuradhapura,6080
EH-2022000071,20105,2022-02-08 15:01:17,1,66960,Samsung Galaxy A14 Smartphone,Anuradhapura,66960
EH-2022000072,20212,2022-02-08 17:52:19,1,3070,Power Bank 10000mAh,Kurunegala,3070
EH-2022000073,20165,2022-02-09 18:15:12,2,980,Extension Cord (4-Socket),Jaffna,1960
EH-2022000073,20165,2022-02-09 18:15:12,1,7500,Sony Bluetooth Speaker,Jaffna,7500
EH-2022000073,20165,2022-02-09 18:15:12,1,22620,Inverter Battery 12V 100Ah,Jaffna,22620
EH-2022000074,20123,2022-02-09 19:39:33,1,126220,LG Washing Machine 7kg,Colombo,126220
EH-2022000075,20058,2022-02-11 09:34:47,1,21330,Inverter Battery 12V 100Ah,Galle,21330
EH-2022000076,20115,2022-02-11 14:46:41,1,8650,itel Feature Phone,Gampaha,8650
EH-2022000076,20115,2022-02-11 14:46:41,1,59930,Singer LED TV 43-inch,Gampaha,59930
EH-2022000076,20115,2022-02-11 14:46:41,1,62830,Samsung Galaxy A14 Smartphone,Gampaha,62830
EH-2022000077,20057,2022-02-11 16:27:03,1,8500,itel Feature Phone,Gampaha,8500
EH-2022000078,20216,2022-02-12 16:17:39,1,63330,Samsung Galaxy A14 Smartphone,Colombo,63330
EH-2022000079,20177,2022-02-14 09:34:25,1,4280,Bluetooth Earbuds,Gampaha,4280
EH-2022000080,20149,2022-02-14 13:30:33,1,5380,Abans Blender 400W,Kurunegala,5380
EH-2022000080,20149,2022-02-14 13:30:33,1,4900,National Table Fan 16-inch,Kurunegala,4900
EH-2022000080,20149,2022-02-14 13:30:33,1,34520,Singer LED TV 32-inch,Kurunegala,34520
EH-2022000081,20108,2022-02-15 10:06:42,1,3210,Power Bank 10000mAh,Batticaloa,3210
EH-2022000082,20241,2022-02-15 10:50:05,2,930,Extension Cord (4-Socket),Colombo,1860
EH-2022000082,20241,2022-02-15 10:50:05,1,90970,Kelvinator Refrigerator 190L,Colombo,90970
EH-2022000083,20106,2022-02-16 11:31:25,1,7170,Sony Bluetooth Speaker,Colombo,7170
EH-2022000083,20106,2022-02-16 11:31:25,2,1000,Extension Cord (4-Socket),Colombo,2000
EH-2022000084,20058,2022-02-16 13:51:42,3,820,Rechargeable LED Bulb,Galle,2460
EH-2022000084,20058,2022-02-16 13:51:42,1,67750,Samsung Galaxy A14 Smartphone,Galle,67750
EH-2022000084,20058,2022-02-16 13:51:42,1,63450,Singer LED TV 43-inch,Galle,63450
EH-2022000085,20053,2022-02-20 20:02:25,1,127590,LG Washing Machine 7kg,Ratnapura,127590
EH-2022000085,20053,2022-02-20 20:02:25,2,870,Rechargeable LED Bulb,Ratnapura,1740
EH-2022000086,20247,2022-02-21 16:32:38,1,42370,Xiaomi Redmi 12 Smartphone,Kurunegala,42370
EH-2022000086,20247,2022-02-21 16:32:38,1,64120,Samsung Galaxy A14 Smartphone,Kurunegala,64120
EH-2022000086,20247,2022-02-21 16:32:38,1,3490,Solar Lantern (Rechargeable),Kurunegala,3490
EH-2022000087,20069,2022-02-21 19:54:05,1,4890,National Table Fan 16-inch,Kurunegala,4890
EH-2022000087,20069,2022-02-21 19:54:05,1,18870,Panasonic Inverter 700VA,Kurunegala,18870
EH-2022000088,20213,2022-02-22 10:01:04,1,2170,Laptop Cooling Pad,Gampaha,2170
EH-2022000089,20131,2022-02-22 13:06:26,1,2220,Laptop Cooling Pad,Colombo,2220
EH-2022000089,20131,2022-02-22 13:06:26,1,63410,Samsung Galaxy A14 Smartphone,Colombo,63410
EH-2022000089,20131,2022-02-22 13:06:26,1,1510,Gas Cooker Adapter (LPG-saver),Colombo,1510
EH-2022000090,20259,2022-02-23 10:29:09,1,3130,Power Bank 10000mAh,Kurunegala,3130
EH-2022000091,20072,2022-02-23 11:23:23,2,3350,Solar Lantern (Rechargeable),Kurunegala,6700
EH-2022000091,20072,2022-02-23 11:23:23,1,2010,Laptop Cooling Pad,Kurunegala,2010
EH-2022000092,20045,2022-02-23 17:37:46,2,3380,Solar Lantern (Rechargeable),Colombo,6760
EH-2022000092,20045,2022-02-23 17:37:46,1,5200,Abans Blender 400W,Colombo,5200
EH-2022000093,20229,2022-02-24 10:43:14,3,900,Rechargeable LED Bulb,Colombo,2700
EH-2022000093,20229,2022-02-24 10:43:14,1,65590,Singer LED TV 43-inch,Colombo,65590
EH-2022000094,20071,2022-02-24 12:33:47,1,34260,Singer LED TV 32-inch,Kalutara,34260
EH-2022000094,20071,2022-02-24 12:33:47,1,4750,National Table Fan 16-inch,Kalutara,4750
EH-2022000094,20071,2022-02-24 12:33:47,1,4540,Bluetooth Earbuds,Kalutara,4540
EH-2022000095,20186,2022-02-24 20:15:15,2,3350,Solar Lantern (Rechargeable),Kandy,6700
EH-2022000095,20186,2022-02-24 20:15:15,2,3710,Philips Electric Kettle,Kandy,7420
EH-2022000095,20186,2022-02-24 20:15:15,1,40410,Xiaomi Redmi 12 Smartphone,Kandy,40410
EH-2022000096,20017,2022-02-25 18:02:16,1,5210,Abans Blender 400W,Colombo,5210
EH-2022000096,20017,2022-02-25 18:02:16,2,900,Extension Cord (4-Socket),Colombo,1800
EH-2022000096,20017,2022-02-25 18:02:16,1,3210,Power Bank 10000mAh,Colombo,3210
EH-2022000097,20002,2022-02-27 16:51:38,1,5220,Abans Blender 400W,Colombo,5220
EH-2022000098,20216,2022-03-01 16:27:40,2,1000,Extension Cord (4-Socket),Colombo,2000
EH-2022000098,20216,2022-03-01 16:27:40,2,3370,Power Bank 10000mAh,Colombo,6740
EH-2022000099,20231,2022-03-03 17:18:54,2,1050,Rechargeable LED Bulb,Colombo,2100
EH-2022000099,20231,2022-03-03 17:18:54,1,1670,Gas Cooker Adapter (LPG-saver),Colombo,1670
EH-2022000100,20245,2022-03-04 15:58:00,2,3830,Philips Electric Kettle,Gampaha,7660
EH-2022000100,20245,2022-03-04 15:58:00,1,4560,Bluetooth Earbuds,Gampaha,4560
EH-2022000101,20057,2022-03-05 18:00:28,1,1000,Rechargeable LED Bulb,Gampaha,1000
EH-2022000101,20057,2022-03-05 18:00:28,1,25830,Inverter Battery 12V 100Ah,Gampaha,25830
EH-2022000101,20057,2022-03-05 18:00:28,1,40360,Xiaomi Redmi 12 Smartphone,Gampaha,40360
EH-2022000102,20162,2022-03-08 12:58:38,1,22550,Panasonic Inverter 700VA,Ratnapura,22550
EH-2022000102,20162,2022-03-08 12:58:38,1,1100,Rechargeable LED Bulb,Ratnapura,1100
EH-2022000102,20162,2022-03-08 12:58:38,2,4290,Solar Lantern (Rechargeable),Ratnapura,8580
EH-2022000103,20019,2022-03-08 17:14:03,1,1740,Gas Cooker Adapter (LPG-saver),Gampaha,1740
EH-2022000104,20084,2022-03-09 20:29:13,1,21140,Panasonic Inverter 700VA,Kandy,21140
EH-2022000104,20084,2022-03-09 20:29:13,1,4840,National Table Fan 16-inch,Kandy,4840
EH-2022000104,20084,2022-03-09 20:29:13,1,5200,Abans Blender 400W,Kandy,5200
EH-2022000105,20061,2022-03-09 20:40:43,1,1010,Extension Cord (4-Socket),Kandy,1010
EH-2022000105,20061,2022-03-09 20:40:43,1,68120,Samsung Galaxy A14 Smartphone,Kandy,68120
EH-2022000105,20061,2022-03-09 20:40:43,2,3940,Solar Lantern (Rechargeable),Kandy,7880
EH-2022000106,20220,2022-03-10 16:08:13,2,3630,Power Bank 10000mAh,Matara,7260
EH-2022000107,20240,2022-03-11 18:38:49,1,22500,Inverter Battery 12V 100Ah,Gampaha,22500
EH-2022000107,20240,2022-03-11 18:38:49,2,4080,Solar Lantern (Rechargeable),Gampaha,8160
EH-2022000108,20184,2022-03-11 20:08:57,1,25380,Inverter Battery 12V 100Ah,Colombo,25380
EH-2022000108,20184,2022-03-11 20:08:57,2,1020,Rechargeable LED Bulb,Colombo,2040
EH-2022000108,20184,2022-03-11 20:08:57,2,3720,Philips Electric Kettle,Colombo,7440
EH-2022000109,20220,2022-03-14 16:23:59,1,8150,itel Feature Phone,Matara,8150
EH-2022000110,20044,2022-03-14 20:32:27,1,68770,Samsung Galaxy A14 Smartphone,Jaffna,68770
EH-2022000111,20086,2022-03-16 17:55:28,2,3810,Power Bank 10000mAh,Galle,7620
EH-2022000111,20086,2022-03-16 17:55:28,1,22390,Panasonic Inverter 700VA,Galle,22390
EH-2022000111,20086,2022-03-16 17:55:28,1,3970,Solar Lantern (Rechargeable),Galle,3970
EH-2022000112,20220,2022-03-18 09:02:17,1,1010,Rechargeable LED Bulb,Matara,1010
EH-2022000112,20220,2022-03-18 09:02:17,1,5040,Abans Blender 400W,Matara,5040
EH-2022000113,20041,2022-03-18 12:06:46,1,27420,Inverter Battery 12V 100Ah,Colombo,27420
EH-2022000113,20041,2022-03-18 12:06:46,2,3810,Power Bank 10000mAh,Colombo,7620
EH-2022000113,20041,2022-03-18 12:06:46,1,7410,Sony Bluetooth Speaker,Colombo,7410
EH-2022000114,20018,2022-03-18 12:31:21,1,20540,Panasonic Inverter 700VA,Kandy,20540
EH-2022000114,20018,2022-03-18 12:31:21,1,1710,Gas Cooker Adapter (LPG-saver),Kandy,1710
EH-2022000114,20018,2022-03-18 12:31:21,2,3870,Power Bank 10000mAh,Kandy,7740
EH-2022000115,20030,2022-03-18 16:54:50,1,8290,itel Feature Phone,Colombo,8290
EH-2022000115,20030,2022-03-18 16:54:50,1,3680,Power Bank 10000mAh,Colombo,3680
EH-2022000116,20026,2022-03-20 13:12:43,1,940,Extension Cord (4-Socket),Jaffna,940
EH-2022000117,20222,2022-03-22 11:52:02,1,44110,Xiaomi Redmi 12 Smartphone,Matara,44110
EH-2022000117,20222,2022-03-22 11:52:02,1,2110,Laptop Cooling Pad,Matara,2110
EH-2022000118,20071,2022-03-22 12:53:52,1,34250,Singer LED TV 32-inch,Kalutara,34250
EH-2022000119,20244,2022-03-24 17:30:21,1,930,Extension Cord (4-Socket),Gampaha,930
EH-2022000120,20212,2022-03-24 20:48:30,1,850,Rechargeable LED Bulb,Kurunegala,850
EH-2022000121,20077,2022-03-25 10:03:33,1,1580,Gas Cooker Adapter (LPG-saver),Matale,1580
EH-2022000121,20077,2022-03-25 10:03:33,2,4220,Solar Lantern (Rechargeable),Matale,8440
EH-2022000122,20254,2022-03-25 16:56:43,1,3690,Philips Electric Kettle,Colombo,3690
EH-2022000122,20254,2022-03-25 16:56:43,3,940,Rechargeable LED Bulb,Colombo,2820
EH-2022000122,20254,2022-03-25 16:56:43,1,4030,Solar Lantern (Rechargeable),Colombo,4030
EH-2022000123,20015,2022-03-25 17:41:12,1,26070,Inverter Battery 12V 100Ah,Colombo,26070
EH-2022000124,20061,2022-03-25 19:32:17,1,8710,itel Feature Phone,Kandy,8710
EH-2022000125,20117,2022-03-25 19:33:09,3,1070,Rechargeable LED Bulb,Jaffna,3210
EH-2022000125,20117,2022-03-25 19:33:09,2,970,Extension Cord (4-Socket),Jaffna,1940
EH-2022000125,20117,2022-03-25 19:33:09,1,35730,Singer LED TV 32-inch,Jaffna,35730
EH-2022000126,20220,2022-03-25 20:38:44,2,3470,Power Bank 10000mAh,Matara,6940
EH-2022000126,20220,2022-03-25 20:38:44,1,3880,Philips Electric Kettle,Matara,3880
EH-2022000126,20220,2022-03-25 20:38:44,1,5020,National Table Fan 16-inch,Matara,5020
EH-2022000127,20049,2022-03-26 17:22:51,1,28740,Inverter Battery 12V 100Ah,Colombo,28740
EH-2022000128,20212,2022-04-04 10:03:51,1,5140,Abans Blender 400W,Kurunegala,5140
EH-2022000128,20212,2022-04-04 10:03:51,1,4650,National Table Fan 16-inch,Kurunegala,4650
EH-2022000129,20229,2022-04-04 17:04:38,1,132450,LG Washing Machine 7kg,Colombo,132450
EH-2022000129,20229,2022-04-04 17:04:38,1,1760,Gas Cooker Adapter (LPG-saver),Colombo,1760
EH-2022000130,20219,2022-04-07 14:02:02,1,1790,Gas Cooker Adapter (LPG-saver),Kandy,1790
EH-2022000131,20069,2022-04-09 13:41:17,2,3770,Power Bank 10000mAh,Kurunegala,7540
EH-2022000131,20069,2022-04-09 13:41:17,1,3880,Philips Electric Kettle,Kurunegala,3880
EH-2022000131,20069,2022-04-09 13:41:17,1,960,Extension Cord (4-Socket),Kurunegala,960
EH-2022000132,20017,2022-04-10 17:00:29,1,3650,Philips Electric Kettle,Colombo,3650
EH-2022000133,20057,2022-04-10 18:09:18,2,3220,Power Bank 10000mAh,Gampaha,6440
EH-2022000134,20159,2022-04-12 08:36:27,1,4950,National Table Fan 16-inch,Matara,4950
EH-2022000134,20159,2022-04-12 08:36:27,1,4270,Solar Lantern (Rechargeable),Matara,4270
EH-2022000135,20036,2022-04-15 17:02:35,1,24910,Inverter Battery 12V 100Ah,Colombo,24910
EH-2022000135,20036,2022-04-15 17:02:35,1,3820,Power Bank 10000mAh,Colombo,3820
EH-2022000136,20044,2022-04-16 18:50:03,1,920,Rechargeable LED Bulb,Jaffna,920
EH-2022000137,20071,2022-04-19 12:08:42,1,3830,Solar Lantern (Rechargeable),Kalutara,3830
EH-2022000137,20071,2022-04-19 12:08:42,1,7400,Sony Bluetooth Speaker,Kalutara,7400
EH-2022000138,20071,2022-04-20 09:23:21,2,3620,Philips Electric Kettle,Kalutara,7240
EH-2022000138,20071,2022-04-20 09:23:21,1,27730,Inverter Battery 12V 100Ah,Kalutara,27730
