InvoiceNo,StockCode,Description,Quantity,InvoiceDate,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
540059,40088,CARGILLS FRESH EGGS (10),2,5/1/20 15:09,401046,350,700,Galle
540060,40083,BOGAWANTALAWA TEA 400G,3,5/2/20 14:13,,900,2700,Matara
540061,40001,DILMAH CEYLON TEA 500G,10,5/5/20 9:43,401010,1200,12000,Colombo
540062,40007,MUNCHEE CHOCOLATE BISCUIT 200G,3,5/5/20 9:56,401150,220,660,Gampaha
540063,40052,WIJAYA ROASTED CURRY POWDER 250G,2,5/5/20 18:38,401172,400,800,Moneragala
540064,40012,MALIBAN CREAM CRACKER 500G,1,5/6/20 8:35,401016,420,420,Gampaha
540065,40059,SURF EXCEL 1KG,1,5/6/20 13:37,401176,850,850,Colombo
540066,DELV,COURIER DELIVERY CHARGE,4,5/12/20 10:21,401020,550.5,2202,Kegalle
540067,40045,PANADOL 100 TABLETS,2,5/13/20 12:20,401203,450,900,Matara
540068,40001,DILMAH CEYLON TEA 500G,3,5/13/20 15:45,401067,1200,3600,Gampaha
540069,40085,RANFAT COOKING OIL 1L,6,5/14/20 10:03,401073,1150,6900,Puttalam
540070,40028,BAIRAHA CHICKEN 1KG,2,5/18/20 20:18,401091,1450,2900,Gampaha
540071,40001,DILMAH CEYLON TEA 500G,5,5/19/20 8:02,401141,1200,6000,Matara
540072,40066,PONDS TALCUM POWDER 100G,5,5/20/20 20:37,401180,380,1900,Colombo
540073,40037,MOTHA STRAWBERRY JELLY 100G,1,5/27/20 14:57,401013,120,120,Kurunegala
540074,40016,LINK SAMAHAN BOX (100 PACKETS),8,5/28/20 19:28,401216,1500,12000,Colombo
540075,40075,RANMUTHU RICE 5KG,3,5/29/20 17:54,401046,1500,4500,Matara
540076,40016,LINK SAMAHAN BOX (100 PACKETS),1,5/30/20 14:00,,1500,1500,Puttalam
540077,40002,DILMAH EARL GREY TEA 50 BAGS,5,6/1/20 17:51,401080,850,4250,Ampara
540078,40002,DILMAH EARL GREY TEA 50 BAGS,3,6/1/20 20:51,401109,850,2550,Kandy
540079,40077,PILAWOOS FALOODA MIX 200G,3,6/2/20 15:01,401019,350,1050,Kandy
540080,40004,ZESTA TEA 400G,5,6/6/20 11:05,401020,1050,5250,Kurunegala
540081,40001,DILMAH CEYLON TEA 500G,1,6/8/20 20:07,401176,1200,1200,Kegalle
540082,40020,ELEPHANT HOUSE CREAM SODA 1.5L,3,6/10/20 12:27,401197,400,1200,Kandy
540083,40087,CARGILLS MAGIC SAUSAGES 400G,4,6/11/20 12:33,401033,780,3120,Batticaloa
540084,40005,WATAWALA TEA 400G,10,6/14/20 17:56,401077,780,7800,Mullaitivu
540085,40002,DILMAH EARL GREY TEA 50 BAGS,1,6/16/20 10:52,,850,850,Matara
540086,40042,MARINA COCONUT OIL 1L,1,6/18/20 17:42,401135,950,950,Galle
540087,40045,PANADOL 100 TABLETS,3,6/19/20 20:57,,450,1350,Galle
540088,40072,FUN FOODS MAYONNAISE 250G,15,6/21/20 12:58,401001,490,7350,Kalutara
540089,40005,WATAWALA TEA 400G,8,6/23/20 9:01,401055,780,6240,Badulla
540090,40018,MD MANGO CHUTNEY 400G,12,6/23/20 11:49,401019,650,7800,Moneragala
540091,40002,DILMAH EARL GREY TEA 50 BAGS,4,6/25/20 15:16,401196,850,3400,Polonnaruwa
540092,40005,WATAWALA TEA 400G,3,6/25/20 20:00,401097,780,2340,Anuradhapura
540093,40020,ELEPHANT HOUSE CREAM SODA 1.5L,6,6/26/20 13:01,401002,400,2400,Kandy
540094,40042,MARINA COCONUT OIL 1L,2,6/27/20 13:18,401154,950,1900,Colombo
540095,40002,DILMAH EARL GREY TEA 50 BAGS,3,6/29/20 9:55,401084,850,2550,Kalutara
540096,40018,MD MANGO CHUTNEY 400G,6,6/29/20 18:16,401088,650,3900,Badulla
540097,40060,SUNLIGHT SOAP 115G,2,6/30/20 17:33,401015,120,240,Galle
540098,40002,DILMAH EARL GREY TEA 50 BAGS,4,7/1/20 12:48,401166,850,3400,Matale
540099,40008,MUNCHEE LEMON PUFF 200G,2,7/11/20 12:33,401009,200,400,Jaffna
540100,40017,MD MIXED FRUIT JAM 500G,4,7/12/20 13:07,401159,650,2600,Batticaloa
540101,40001,DILMAH CEYLON TEA 500G,20,7/13/20 14:56,401057,1200,24000,Kurunegala
540102,40057,VIM DISHWASH LIQUID 500ML,3,7/14/20 11:52,401078,450,1350,Kurunegala
540103,40014,SPA CEYLON HAND CREAM,5,7/14/20 14:34,401096,2200,11000,Batticaloa
540104,40035,CBL SAMAPOSHA 200G,2,7/15/20 15:22,401204,180,360,Trincomalee
540105,40006,MUNCHEE SUPER CREAM CRACKER 500G,1,7/16/20 10:17,401102,450,450,Kurunegala
540106,40043,ASTRA MARGARINE 250G,3,7/17/20 10:28,401131,400,1200,Matara
540107,40055,LIFEBUOY SOAP 100G,4,7/18/20 12:16,401053,130,520,Galle
540108,40001,DILMAH CEYLON TEA 500G,6,7/20/20 19:50,401179,1200,7200,Galle
540109,40025,KOTMALE FRESH MILK 1L,5,7/22/20 15:28,401214,450,2250,Anuradhapura
540110,40057,VIM DISHWASH LIQUID 500ML,2,7/22/20 19:21,401161,450,900,Kalutara
540111,40004,ZESTA TEA 400G,4,7/28/20 11:21,401058,1050,4200,Puttalam
540112,40006,MUNCHEE SUPER CREAM CRACKER 500G,3,8/11/20 14:29,401055,450,1350,Galle
540113,40013,SPA CEYLON SLEEP BODY LOTION,2,8/13/20 13:25,401004,3500,7000,Kalutara
540114,40091,USWATTE SPICES MIXED CURRY POWDER 100G,6,8/14/20 18:06,401009,220,1320,Kurunegala
540115,40053,WIJAYA CHILLI POWDER 250G,5,8/21/20 11:19,401091,450,2250,Ratnapura
540116,40039,CLOGARD TOOTHPASTE 120G,2,8/22/20 9:10,401030,220,440,Trincomalee
540117,40079,CEYLON TOBACCO (CIGARETTES PACK),2,8/25/20 10:28,401106,1200,2400,Trincomalee
540118,40047,PELWATTE BUTTER 200G,6,8/26/20 16:49,401125,750,4500,Gampaha
540119,40051,LANKA SOY CHICKEN FLAVOUR 90G,3,8/28/20 11:43,401123,120,360,Colombo
540120,40030,KIST MIXED FRUIT NECTAR 1L,1,8/29/20 12:28,401164,550,550,Galle
540121,40087,CARGILLS MAGIC SAUSAGES 400G,4,9/2/20 17:10,401188,780,3120,Colombo
540122,40002,DILMAH EARL GREY TEA 50 BAGS,2,9/6/20 20:02,401185,850,1700,Polonnaruwa
540123,40012,MALIBAN CREAM CRACKER 500G,1,9/8/20 18:30,401217,420,420,Kurunegala
540124,40038,MOTHA FALUDA MIX 100G,10,9/11/20 15:35,401097,200,2000,Gampaha
540125,40023,RATHTHI MILK POWDER 400G,2,9/13/20 13:57,401164,1100,2200,Ratnapura
540126,40004,ZESTA TEA 400G,1,9/17/20 11:52,401183,1050,1050,Hambantota
540127,40002,DILMAH EARL GREY TEA 50 BAGS,10,9/17/20 14:50,401132,850,8500,Kalutara
540128,40077,PILAWOOS FALOODA MIX 200G,4,9/20/20 8:40,,350,1400,Colombo
540129,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,8,9/21/20 9:05,401112,800,6400,Matara
540130,40022,ANCHOR MILK POWDER 400G,12,9/26/20 13:02,401037,1150,13800,Colombo
540131,40010,MALIBAN MARIE BISCUITS 400G,2,10/5/20 20:52,401005,350,700,Kurunegala
540132,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,3,10/6/20 11:22,401192,800,2400,Colombo
540133,40014,SPA CEYLON HAND CREAM,2,10/6/20 17:02,401100,2200,4400,Badulla
540134,40008,MUNCHEE LEMON PUFF 200G,6,10/9/20 8:41,401067,200,1200,Colombo
540135,40016,LINK SAMAHAN BOX (100 PACKETS),5,10/11/20 12:29,401135,1500,7500,Colombo
540136,40063,MILO 400G,2,10/13/20 13:07,401140,780,1560,Anuradhapura
540137,40040,SIGNAL TOOTHPASTE 120G,4,10/15/20 12:34,401147,230,920,Matara
540138,40010,MALIBAN MARIE BISCUITS 400G,2,10/17/20 15:35,401080,350,700,Ratnapura
540139,40087,CARGILLS MAGIC SAUSAGES 400G,3,10/19/20 9:59,401008,780,2340,Jaffna
540140,40001,DILMAH CEYLON TEA 500G,2,10/20/20 16:38,,1200,2400,Galle
540141,40007,MUNCHEE CHOCOLATE BISCUIT 200G,1,10/21/20 14:23,401207,220,220,Gampaha
540142,40006,MUNCHEE SUPER CREAM CRACKER 500G,2,10/21/20 16:26,401160,450,900,Kalutara
540143,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,10,10/21/20 20:58,401082,800,8000,Kandy
540144,40008,MUNCHEE LEMON PUFF 200G,5,10/22/20 15:19,401208,200,1000,Polonnaruwa
540145,40018,MD MANGO CHUTNEY 400G,5,10/23/20 10:31,401060,650,3250,Kalutara
540146,40010,MALIBAN MARIE BISCUITS 400G,20,10/29/20 12:40,401047,350,7000,Trincomalee
540147,40001,DILMAH CEYLON TEA 500G,4,10/29/20 12:54,,1200,4800,Vavuniya
540148,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,4,10/29/20 19:50,401091,800,3200,Gampaha
540149,40005,WATAWALA TEA 400G,3,10/30/20 10:37,401109,780,2340,Moneragala
540150,40066,PONDS TALCUM POWDER 100G,2,10/30/20 19:09,401103,380,760,Hambantota
540151,40019,ELEPHANT HOUSE GINGER BEER 1.5L,2,11/2/20 12:35,,400,800,Colombo
540152,40002,DILMAH EARL GREY TEA 50 BAGS,3,11/2/20 13:28,401121,850,2550,Colombo
540153,40014,SPA CEYLON HAND CREAM,10,11/5/20 10:57,401044,2200,22000,Gampaha
540154,40062,NESTOMALT 400G,20,11/5/20 15:09,401220,620,12400,Puttalam
540155,40007,MUNCHEE CHOCOLATE BISCUIT 200G,2,11/8/20 16:09,401152,220,440,Puttalam
540156,40071,MA MA NOODLES 5 PACK,1,11/9/20 13:58,401124,400,400,Kegalle
540157,40012,MALIBAN CREAM CRACKER 500G,3,11/9/20 17:24,401079,420,1260,Matara
540158,40071,MA MA NOODLES 5 PACK,2,11/10/20 15:50,,400,800,Matale
540159,40007,MUNCHEE CHOCOLATE BISCUIT 200G,2,11/10/20 17:55,401042,220,440,Colombo
540160,40001,DILMAH CEYLON TEA 500G,6,11/11/20 10:22,401065,1200,7200,Jaffna
540161,40083,BOGAWANTALAWA TEA 400G,1,11/11/20 17:13,401185,900,900,Kandy
540162,40003,DILMAH GREEN TEA 20 BAGS,5,11/15/20 14:43,401002,550,2750,Kilinochchi
540163,40022,ANCHOR MILK POWDER 400G,2,11/17/20 18:39,401196,1150,2300,Ampara
540164,40029,KIST TOMATO KETCHUP 400G,12,11/18/20 20:49,401065,450,5400,Matale
540165,40004,ZESTA TEA 400G,2,11/21/20 11:04,401081,1050,2100,Gampaha
540166,40073,DELMEGE BASMATI RICE 5KG,3,11/21/20 12:08,,2100,6300,Galle
540167,40004,ZESTA TEA 400G,15,11/22/20 11:32,401184,1050,15750,Gampaha
540168,40082,NECTO 1.5L,1,11/23/20 11:27,401006,350,350,Kegalle
540169,40014,SPA CEYLON HAND CREAM,4,11/25/20 15:20,401071,2200,8800,Badulla
540170,40074,ARALIYA WHITE RICE 5KG,6,11/25/20 18:34,401098,1450,8700,Galle
540171,40025,KOTMALE FRESH MILK 1L,2,11/29/20 16:59,401160,450,900,Kalutara
540172,40036,MAGGI COCONUT MILK POWDER 300G,2,12/1/20 11:54,401184,750,1500,Galle
540173,40009,MUNCHEE TIKIRI MARIE 80G,1,12/1/20 14:16,401023,70,70,Jaffna
540174,40028,BAIRAHA CHICKEN 1KG,8,12/2/20 14:51,401010,1450,11600,Jaffna
540175,40001,DILMAH CEYLON TEA 500G,2,12/2/20 14:54,,1200,2400,Gampaha
540176,40072,FUN FOODS MAYONNAISE 250G,5,12/2/20 16:12,401077,490,2450,Kalutara
540177,40002,DILMAH EARL GREY TEA 50 BAGS,1,12/3/20 20:36,401141,850,850,Kalutara
540178,40036,MAGGI COCONUT MILK POWDER 300G,12,12/5/20 10:33,401161,750,9000,Polonnaruwa
540179,40075,RANMUTHU RICE 5KG,1,12/8/20 9:36,,1500,1500,Hambantota
540180,40069,ANCHOR BUTTER 200G,2,12/9/20 20:56,401086,780,1560,Ratnapura
540181,40049,ROZA PASTA MACARONI 400G,2,12/10/20 19:36,401164,300,600,Badulla
540182,40049,ROZA PASTA MACARONI 400G,3,12/11/20 20:06,401043,300,900,Badulla
540183,40004,ZESTA TEA 400G,3,12/12/20 13:10,401056,1050,3150,Puttalam
540184,40025,KOTMALE FRESH MILK 1L,6,12/12/20 15:52,401079,450,2700,Gampaha
540185,40006,MUNCHEE SUPER CREAM CRACKER 500G,3,12/12/20 19:49,401158,450,1350,Kandy
540186,40091,USWATTE SPICES MIXED CURRY POWDER 100G,1,12/14/20 16:17,,220,220,Kurunegala
540187,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,1,12/15/20 11:13,401090,800,800,Ratnapura
540188,40001,DILMAH CEYLON TEA 500G,2,12/16/20 12:02,401017,1200,2400,Colombo
540189,40024,HIGHLAND MILK 1L,1,12/16/20 19:33,401121,400,400,Colombo
540190,40091,USWATTE SPICES MIXED CURRY POWDER 100G,3,12/18/20 13:26,401068,220,660,Polonnaruwa
540191,40015,SIDDHALEPA BALM 50G,6,12/19/20 8:40,401096,250,1500,Puttalam
540192,40014,SPA CEYLON HAND CREAM,4,12/20/20 18:39,401152,2200,8800,Badulla
540193,40076,CEYLON COLD STORES YOGHURT 80G,2,12/21/20 14:38,401109,90,180,Gampaha
540194,40071,MA MA NOODLES 5 PACK,3,12/22/20 11:48,401031,400,1200,Kandy
540195,40009,MUNCHEE TIKIRI MARIE 80G,4,12/23/20 19:34,401019,70,280,Kandy
540196,40030,KIST MIXED FRUIT NECTAR 1L,2,12/25/20 10:26,,550,1100,Gampaha
540197,40087,CARGILLS MAGIC SAUSAGES 400G,6,12/27/20 10:13,401003,780,4680,Galle
540198,40026,KITHUL TREACLE 750ML,5,12/28/20 16:57,401003,1800,9000,Kandy
540199,40004,ZESTA TEA 400G,2,12/30/20 14:32,401084,1050,2100,Nuwara Eliya
540200,40002,DILMAH EARL GREY TEA 50 BAGS,3,1/1/21 17:56,401010,890,2670,Badulla
540201,40015,SIDDHALEPA BALM 50G,2,1/7/21 12:51,,260,520,Colombo
540202,40018,MD MANGO CHUTNEY 400G,5,1/9/21 11:18,401058,680,3400,Matara
540203,40005,WATAWALA TEA 400G,2,1/10/21 10:03,,815,1630,Kilinochchi
540204,40065,FAIR & LOVELY CREAM 50G,5,1/11/21 8:29,401138,335,1675,Kalutara
540205,40083,BOGAWANTALAWA TEA 400G,5,1/11/21 19:13,,940,4700,Colombo
540206,40002,DILMAH EARL GREY TEA 50 BAGS,3,1/13/21 9:26,401172,890,2670,Gampaha
540207,40090,RITZBURY CHOCOLATE BAR 100G,1,1/13/21 9:37,401083,270,270,Kegalle
540208,40013,SPA CEYLON SLEEP BODY LOTION,6,1/13/21 16:46,401047,3655,21930,Kalutara
540209,40006,MUNCHEE SUPER CREAM CRACKER 500G,8,1/14/21 16:22,,470,3760,Colombo
540210,40046,MARMITE 100G,3,1/14/21 18:47,,785,2355,Kegalle
540211,40006,MUNCHEE SUPER CREAM CRACKER 500G,3,1/15/21 13:59,401058,470,1410,Kurunegala
540212,40008,MUNCHEE LEMON PUFF 200G,3,1/16/21 12:16,401020,210,630,Matara
540213,40006,MUNCHEE SUPER CREAM CRACKER 500G,3,1/17/21 13:59,,470,1410,Batticaloa
540214,40026,KITHUL TREACLE 750ML,1,1/18/21 13:39,401096,1880,1880,Colombo
540215,40009,MUNCHEE TIKIRI MARIE 80G,4,1/25/21 12:30,401040,75,300,Ratnapura
540216,40001,DILMAH CEYLON TEA 500G,6,1/30/21 12:50,401194,1255,7530,Colombo
540217,40011,MALIBAN LEMON PUFF 200G,2,1/30/21 15:03,401015,210,420,Badulla
540218,40071,MA MA NOODLES 5 PACK,12,1/30/21 18:25,401087,420,5040,Batticaloa
540219,40022,ANCHOR MILK POWDER 400G,3,2/1/21 18:59,401027,1200,3600,Kurunegala
540220,40085,RANFAT COOKING OIL 1L,2,2/5/21 17:02,,1200,2400,Kalutara
540221,40049,ROZA PASTA MACARONI 400G,1,2/5/21 20:35,401002,315,315,Colombo
540222,40004,ZESTA TEA 400G,4,2/6/21 12:25,401036,1095,4380,Gampaha
540223,40002,DILMAH EARL GREY TEA 50 BAGS,4,2/10/21 12:10,401095,890,3560,Ratnapura
540224,40008,MUNCHEE LEMON PUFF 200G,1,2/11/21 11:39,401018,210,210,Ampara
540225,40007,MUNCHEE CHOCOLATE BISCUIT 200G,4,2/12/21 15:23,401126,230,920,Colombo
540226,40019,ELEPHANT HOUSE GINGER BEER 1.5L,1,2/14/21 13:31,401104,420,420,Kegalle
540227,40034,HARISCHANDRA COFFEE 100G,12,2/14/21 15:14,,395,4740,Matale
540228,40027,KEELLS CHICKEN SAUSAGES 500G,3,2/14/21 15:30,401141,995,2985,Matale
540229,40036,MAGGI COCONUT MILK POWDER 300G,15,2/14/21 17:27,401047,785,11775,Hambantota
540230,40008,MUNCHEE LEMON PUFF 200G,2,2/19/21 15:08,401158,210,420,Puttalam
540231,40004,ZESTA TEA 400G,5,2/23/21 9:58,401156,1095,5475,Colombo
540232,40004,ZESTA TEA 400G,3,2/26/21 17:26,401055,1095,3285,Hambantota
540233,40043,ASTRA MARGARINE 250G,2,2/27/21 11:23,401143,420,840,Ratnapura
540234,40035,CBL SAMAPOSHA 200G,5,2/27/21 14:45,401169,190,950,Matale
540235,40007,MUNCHEE CHOCOLATE BISCUIT 200G,8,2/28/21 13:28,,230,1840,Vavuniya
540236,40054,PEARS BABY POWDER 100G,5,3/1/21 18:23,401163,260,1300,Gampaha
540237,40044,HAPPY COW CHEESE 120G,1,3/2/21 9:22,401179,890,890,Badulla
540238,40007,MUNCHEE CHOCOLATE BISCUIT 200G,5,3/2/21 12:07,401140,230,1150,Kurunegala
540239,40063,MILO 400G,10,3/6/21 13:14,401149,815,8150,Nuwara Eliya
540240,40002,DILMAH EARL GREY TEA 50 BAGS,3,3/7/21 12:52,401038,890,2670,Galle
540241,40004,ZESTA TEA 400G,15,3/7/21 20:11,401124,1095,16425,Gampaha
540242,40002,DILMAH EARL GREY TEA 50 BAGS,1,3/8/21 8:37,401036,890,890,Trincomalee
540243,40008,MUNCHEE LEMON PUFF 200G,10,3/9/21 14:56,401042,210,2100,Gampaha
540244,40015,SIDDHALEPA BALM 50G,2,3/11/21 20:31,401086,260,520,Kegalle
540245,40002,DILMAH EARL GREY TEA 50 BAGS,1,3/13/21 20:29,,890,890,Moneragala
540246,40018,MD MANGO CHUTNEY 400G,1,3/19/21 13:50,401009,680,680,Badulla
540247,40002,DILMAH EARL GREY TEA 50 BAGS,1,3/22/21 17:34,401069,890,890,Puttalam
540248,40017,MD MIXED FRUIT JAM 500G,12,3/22/21 17:35,401156,680,8160,Badulla
540249,40008,MUNCHEE LEMON PUFF 200G,2,3/24/21 19:35,401029,210,420,Colombo
540250,40001,DILMAH CEYLON TEA 500G,1,3/26/21 20:01,401009,1255,1255,Matale
540251,40006,MUNCHEE SUPER CREAM CRACKER 500G,5,3/27/21 19:10,401043,470,2350,Ampara
540252,40001,DILMAH CEYLON TEA 500G,3,3/29/21 17:09,,1255,3765,Badulla
540253,40048,EDINBOROUGH SOY SAUCE 400ML,5,3/29/21 18:58,401034,365,1825,Ratnapura
540254,40027,KEELLS CHICKEN SAUSAGES 500G,5,3/30/21 8:07,401135,995,4975,Galle
540255,40010,MALIBAN MARIE BISCUITS 400G,1,4/3/21 16:13,401088,365,365,Kurunegala
540256,40083,BOGAWANTALAWA TEA 400G,5,4/4/21 11:34,401205,940,4700,Gampaha
540257,40075,RANMUTHU RICE 5KG,3,4/4/21 20:32,401091,1570,4710,Polonnaruwa
540258,40007,MUNCHEE CHOCOLATE BISCUIT 200G,4,4/5/21 8:24,401072,230,920,Nuwara Eliya
540259,40041,BABY CHERAMY SOAP 90G,3,4/5/21 12:31,401174,145,435,Matale
540260,40005,WATAWALA TEA 400G,5,4/6/21 11:51,401125,815,4075,Puttalam
540261,40084,AKBAR TEA 400G,1,4/8/21 20:38,401162,730,730,Matara
540262,40053,WIJAYA CHILLI POWDER 250G,2,4/10/21 8:25,401126,470,940,Kurunegala
540263,40033,HARISCHANDRA NOODLES 400G,3,4/14/21 11:38,401075,260,780,Kalutara
540264,40008,MUNCHEE LEMON PUFF 200G,4,4/16/21 10:28,401182,210,840,Kandy
540265,40069,ANCHOR BUTTER 200G,6,4/16/21 19:02,401194,815,4890,Hambantota
540266,40011,MALIBAN LEMON PUFF 200G,12,4/16/21 20:55,401078,210,2520,Galle
540267,40081,SPRITE 1.5L,5,4/17/21 11:36,401195,365,1825,Moneragala
C540268,40028,BAIRAHA CHICKEN 1KG,-6,4/19/21 20:47,401062,1515,-9090,Vavuniya
540269,40031,PRIMA KOTTU MEE CUP,8,4/21/21 8:48,,155,1240,Kegalle
540270,40002,DILMAH EARL GREY TEA 50 BAGS,2,4/23/21 9:01,401054,890,1780,Kandy
540271,40003,DILMAH GREEN TEA 20 BAGS,10,4/24/21 19:18,401171,575,5750,Trincomalee
540272,40065,FAIR & LOVELY CREAM 50G,2,4/24/21 19:55,401053,335,670,Ampara
540273,40022,ANCHOR MILK POWDER 400G,4,4/24/21 20:57,401102,1200,4800,Gampaha
540274,40004,ZESTA TEA 400G,1,4/30/21 16:57,401021,1095,1095,Kalutara
540275,40041,BABY CHERAMY SOAP 90G,6,4/30/21 20:14,401059,145,870,Badulla
540276,40073,DELMEGE BASMATI RICE 5KG,4,5/2/21 11:36,401098,2195,8780,Moneragala
540277,40005,WATAWALA TEA 400G,2,5/2/21 12:28,401154,815,1630,Kandy
